pregunta;categoria;opcion1;opcion2;opcion3;opcion4;opcion5;opcion6;opcion7;opcion8;correctas;explicacion
Principios básicos de XP son:;Metodologías Ágiles;El cliente en el sitio, Comunicacion, Estandar de codificacion y Codificacion simple;El cliente en el sitio, Programacion en parejas, Estandar de codificacion y Diseño simple;Comunicacion, simpleza, retroalimentacion, valentia y respeto;Dueño del producto, comunicacion, retrospectiva y diseño simple;;;;;2;"La respuesta correcta es El cliente en el sitio, Programacion en parejas, Estandar de codificacion y Diseño simple. De acuerdo con el material de evaluación incluido en las fuentes, esta es la combinación de elementos considerada como la respuesta correcta a tu pregunta. Para comprender por qué esta es la opción válida según la teoría, es importante distinguir cómo la Programación Extrema (XP) clasifica sus conceptos: ● Prácticas o ""Principios"" operativos: La metodología XP se basa en 12 prácticas fundamentales que dictan cómo se debe trabajar. Las mencionadas en la respuesta correcta pertenecen a estas prácticas: tener al cliente en el sitio (On site Customer), utilizar la programación en parejas (Pair Programming), establecer un estándar de codificación y aplicar un diseño simple. ● Valores de XP: La opción que indica ""Comunicación, simpleza, retroalimentación, valentía y respeto"" es incorrecta para este enunciado en particular porque esos no se catalogan como principios o prácticas, sino explícitamente como los cinco valores fundamentales sobre los cuales se sostiene el comportamiento del equipo XP. ● Elementos de otras metodologías: La opción que menciona ""Dueño del producto, retrospectiva..."" es incorrecta porque esos son roles y reuniones que pertenecen específicamente a la metodología Scrum, no a XP. Y la opción restante es incorrecta porque emplea el término inventado ""Codificación simple"" en lugar de la práctica real que es el ""Diseño simple""."
Cual de las siguientes es una ventaja de utilizar preguntas cerradas en una entrevista:;Técnicas de Recolección de Datos;Ayudan a forjar una relacion cercana entre el entrevistador y el entrevistado;Facilitan la comparacion de varias entrevistas;Hacen mas interesante la entrevista para el entrevistado;Permiten obtener gran cantidad de detalles [ debido a que el entrevistador proporciona el marco de referencia para el entrevistado ];;;;;2;"La respuesta correcta es Facilitan la comparacion de varias entrevistas.
De acuerdo con las fuentes, los beneficios o ventajas principales de utilizar preguntas
cerradas en una entrevista incluyen:
● Ahorro de tiempo.
● Se pueden comparar las entrevistas con facilidad.
● Van directo al grano y se tratan muchos temas rápidamente.
● Se mantiene el control sobre la entrevista.
● Se obtienen datos relevantes.
Las otras opciones listadas corresponden en realidad a ventajas de las preguntas abiertas o
son, de hecho, desventajas de las preguntas cerradas. Por ejemplo, las preguntas cerradas
suelen ser aburridas para el entrevistado (no las hacen más interesantes) y no proporcionan
detalles adicionales justamente porque el entrevistador es quien provee el marco de
referencia. "
Cual de las siguientes NO son reglas en la realización de brainstorming;Técnicas de Recolección de Datos;Se debe generar un gran numero de ideas;Todos los participantes deben pertenecer a un unico departamento;Se evitan las ideas mas avanzadas y se impide a los participantes a generar nuevas ideas;Se prohibe la critica de ideas;Se debe alentar a los participantes a combinar o completar las ideas de otros participantes;;;;"2;3";"La respuesta correcta es Se evitan las ideas mas avanzadas y se impide a los participantes a generar nuevas ideas. De acuerdo con las fuentes, esta afirmación es exactamente lo opuesto a las reglas reales del brainstorming (o lluvia de ideas). La teoría establece explícitamente que, durante la fase de generación, ""se fomentan las ideas más avanzadas y se estimula a los participantes a generar nuevas ideas"", dejando que la imaginación vuele sin ningún tipo de autocensura. Las demás opciones presentadas en tu consulta son incorrectas para este enunciado porque SÍ corresponden a reglas fundamentales para asegurar una tormenta de ideas efectiva: ● Se debe generar un gran número de ideas: La meta principal en esta fase es priorizar la cantidad (amplitud) de ideas por sobre el análisis de su calidad inmediata. ● Se prohíbe la crítica de ideas: Mientras se generan las propuestas, no se permite ninguna crítica, evaluación, juicio o debate, ya que esto inhibe la creatividad y frena la participación. ● Se debe alentar a los participantes a combinar o completar las ideas de otros participantes: Se busca refinar, combinar y amplificar (o hacer ""piggyback"") sobre las ideas ya generadas, utilizándolas como semilla para originar nuevas alternativas conjuntas."
Cuando se detecta el grado en que el riesgo pueda afectar negativamente al proyecto, entonces se habla de:;Gestión de Proyectos;Impacto;Probabilidad;Estrategia;Factibilidad;;;;;1;La severidad de un riesgo se calcula típicamente mediante dos variables esenciales: su probabilidad de ocurrencia y su impacto (el nivel de pérdida o el grado de afectación negativa que provocaría en el proyecto)
El desarrollo de los requisitos es un proceso de:;Ingeniería de Requisitos;Recoleccion y documentacion de informacion que nos brindan los usuarios;Mostrar a los usuarios como trabajar mejor;Recoleccion de informacion que nos brindan los clientes y usuarios;Descubrimiento e invencion, para determinar las necesidades de clientes y usuarios;;;;;4;"La teoría de ingeniería de requisitos de la cátedra establece explícitamente: ""El desarrollo de los requisitos es un proceso de descubrimiento e invención, no sólo un proceso de recolección"". El analista no es un mero amanuense; es un investigador activo que estimula a los interesados a descubrir información oculta y proponer soluciones creativas."
En el proceso de Resolución de Problemas, el paso Proponer soluciones alternativas va después de;Gestión de Proyectos;Conocimiento de las causas del problema;Determinar el problema y sus asociadoss;Definir claramente el problema;Evaluar y seleccionar soluciones;;;;;3;Las diapositivas oficiales de la cátedra (Material de Clases.pdf) listan el proceso de resolución de problemas en siete pasos estrictos: 1) Determinar el problema y sus asociados, 2) Conocimiento de las causas, 3) Definir claramente el problema (redefinir), y 4) Proponer soluciones. Por lo tanto, el paso de Proponer soluciones va inmediatamente después de Definir claramente el problema (paso 3)
"De qué tipo es el siguiente requisito: ""El sistema deberá implementar las disposiciones de privacidad del paciente como se establece en HStan-03-2006-priv""";Ingeniería de Requisitos;No Funcional Organizacional;No Funcional del Producto;Funcional;No Funcional Externo;;;;;4;Los requisitos no funcionales se dividen en tres grandes ramas (según Sommerville). Los externos surgen de factores ajenos al sistema y a la organización de desarrollo, como políticas gubernamentales, leyes de protección de datos o, en este caso, de un estándar de privacidad externo (HStan-03-2006-priv).
"Cuál de la actividad de la Ingeniería de Requisitos que requiere activa participación de Cliente y Usuarios; y además tiene por objetivo asegurar la calidad de los mismos es:";Ingeniería de Requisitos;Validacion;Educcion;Analisis;Verificacion;;;;;1;Mientras la verificación es un proceso técnico interno de control de calidad (¿construimos el producto correctamente?), la validación es un punto de control externo que involucra activamente al cliente y a los usuarios mediante revisiones y prototipos para asegurar que lo especificado realmente resuelva sus necesidades reales (¿construimos el producto correcto?).
Identifique en las siguientes características cuales s las que debe tener un requisito;Ingeniería de Requisitos;Completo;Barato;Necesario;Posible;Ambiguo;Priorizado;;;"1;3;4;6";n requisito de calidad debe ser Completo (no omitir detalles), Necesario (su eliminación provocaría una deficiencia), Posible/Factible (realizable técnicamente y por presupuesto) y Priorizado (para saber qué construir primero bajo limitaciones)
Proceso Unificado. Relacione las siguiente afirmaciones con sus correspondientes conceptos. Un mismo concepto se puede aplicar a varias afirmaciones. Utilice Ninguno es Válido cuando no encuentre el concepto correspondiente.;Proceso Unificado;Paso a traves de las 4 fases principales;"Trabajador responsable de la integridad del modelo de analisis, y que el mismo sea
correcto y legible como un todo";"Fase que incluye la conversion de datos, entrenamiento de usuarios correccion de
defectos de la version beta y ayuda en linea";Trabajador responsable de Estructurar el modelo de casos de uso;;;;;"""Ciclo o miniproyecto;Arquitecto;Transicion;Analista de Sistema""";"Relación de Conceptos del Proceso Unificado (RUP)
Explicación:
El Ciclo o miniproyecto representa el recorrido completo por las cuatro fases de RUP para liberar una versión estable [cite: 6].
El Arquitecto es el rol técnico responsable de unificar y dar legibilidad a todo el modelo de análisis [cite: 0].
La Transición es la fase final orientada al despliegue, que incluye entrenamiento, soporte y migración de datos [cite: 3].
El Analista de Sistemas es quien recopila los requerimientos y los plasma estructurando el modelo de casos de uso [cite: 12]."
Cuales de las siguientes NO son ventajas de utilizar preguntas abiertas en una entrevista:;Técnicas de Recolección de Datos;Aseguran una mejor utilizacion del tiempo permitiendo entrevistas mas cortas;Revelan nuevas lineas de preguntas que pudieron haber pasado desapercibidas;Permiten mas espontaneidad;Facilita mantener el control durante la entrevista;Hacen mas interesante la entrevista para el entrevistado;;;;"1;4";"Según Kendall & Kendall (Capítulo 4), las preguntas abiertas se caracterizan por dar libertad al entrevistado, lo cual consume más tiempo y hace que el entrevistador pierda fácilmente el control de la conversación. Por ende, decir que ""aseguran entrevistas más cortas"" (1) y ""facilitan mantener el control"" (4) es falso; estas son ventajas exclusivas de las preguntas cerradas "
Actividad de la Ingeniería de requisitos que tiene por objetivo razonar sobre los requisitos obtenidos en la etapa anterior, detectando y resolviendo posibles inconsistencias o conflictos, coordinando los requisitos relacionados entre sí.;Ingeniería de Requisitos;Documentacion;Educcion;Analisis;Especificacion;;;;;3;"Según la diapositiva oficial ""Análisis de requisitos"" en priorizarReq_I.pdf, se define textualmente como el ""proceso de razonamiento sobre los requisitos obtenidos en la etapa anterior..."". Su función principal es unificar y dar consistencia al conjunto antes de pasar a documentarlos formalmente."
Las características de las buenas herramientas de modelado de sistemas es que debe:;Modelado de Sistemas;Ser grafica con el mismo nivel de detalle;Ser grafica con detalles textuales de apoyo;Ser Orientada a Objetos;Ser transparente para quien lo utilice;Tener redundancia minima;Ser representado en su totalidad en una sola hoja;Permitir que el sistema sea visto en segmentos en forma descendente;;"2;4;5;7";"Un buen modelo de sistemas debe ser fácil de entender y transparente para cualquiera que lo use (4) [cite: 0]. Para no abrumar al lector con complejidad, la herramienta debe ser gráfica pero con texto de apoyo (2), estructurarse en segmentos de forma descendente (top-down) (7) y mantener una redundancia mínima para evitar inconsistencias de datos al realizar cambios (5) [cite: 0].
¿Por qué no las otras? Mostrar el mismo nivel de detalle (1) o querer meter todo el sistema en una sola hoja (6) provocaría una sobrecarga cognitiva severa, haciendo que el modelo sea ilegible y poco útil [cite: 0]."
Cuando al prescindir de un requisito, provoca una deficiencia en el sistema a construir. Se refiere a la característica:;Ingeniería de Requisitos;Necesario;Verificable;Correcto;No ambiguo;;;;;1;"Un requisito cumple con el atributo de necesidad si su eliminación produce una deficiencia irreparable en el sistema a construir. Significa que representa algo que el cliente realmente necesita y no un simple ""deseo"" secundario."
Cual de las características enunciadas a continuación corresponden a una Metodología;Gestión de Proyectos;Siempre utilizan como notacion UML;En un proyecto de desarrollo de Software implican la posibilidad de sufrir una perdida;La aplicacion de la misma siempre implica mayor burocracia lo que conlleva a la finalizacion fuera de la fecha establecida;En un proyecto de desarrollo de Software define Quien debe hacer, Que, Cuando y Como debe hacerlo;No existe una metodologia para el desarrollo de software unirversal, se la debe seleccionar y adaptar a cada proyecto en particular;;;;"4;5";"Una metodología define una estructura de procesos, roles (quién), entregables (qué), fases de tiempo (cuándo) y técnicas (cómo). Asimismo, la teoría del software descarta la existencia de una ""metodología perfecta""; el analista exitoso debe ser flexible y adaptar las herramientas a los desafíos del negocio."
Cual de las siguientes consideraciones NO es apropiada para caracterizar al estudio de Viabilidad:;Gestión de Proyectos;Un compromiso por parte de los directivos de la organizacion en esta etapa tan solo significa que se realizara un estudio de sistema;Es util para desechar los proyectos que se cotraponen con los objetivos de la organizacion;Aunque es muy laborioso, vale la pena y al final ahorra a las empresas y a los analistas de sistemas una considerable cantidad de tiempo y dinero;Es una decision a cargo del analista de sistema sobre si resulta conveniente seguir con el proyecto;;;;;4;" En las diapositivas de la cátedra (Material de Clases.pdf) y en el libro de Kendall & Kendall (Capítulo 3) se especifica explícitamente: ""La viabilidad de un proyecto no es una decisión a cargo del analista de sistemas sino de los directivos de la organización"" [cite: 12]. El analista de sistemas actúa como un consultor técnico que recopila los datos y presenta el informe de viabilidad, pero la decisión de inversión final y de ""proceder o no"" recae de forma exclusiva en la gerencia"
Cuál de las siguientes consideraciones NO sería apropiada para caracterizar a un proyecto;Gestión de Proyectos;Se realiza un diseño y luego se fabrica varias veces en base al mismo;Se requieren objetivos especificos a alcanzar o un producto especifico a crear;Existen restricciones sobre los recursos a utilizar en su desarrollo;El trabajo se realiza por varias personas que pueden tener distintas especializaciones;;;;;1; Por definición de la cátedra y del estándar del PMI, un proyecto es un esfuerzo temporal y único [cite: 342, 548]. Diseñar algo una vez para luego fabricarlo en masa de forma idéntica y repetitiva es la definición clásica de un proceso industrial u operacional (producción en serie), no de un proyecto [cite: 342]. Las opciones de tener objetivos específicos, restricciones de recursos y un equipo multidisciplinar sí son características fundamentales de cualquier proyecto [cite: 2, 342].
Según Scrum para cualquier sprint en curso ¿Cuándo se puede añadir nuevas Historias de Usuario?;Metodologías Ágiles;Nuevas Historias de Usuario nunca pueden ser añadidos al Sprint;Cuando el Scrum Master agrega Historias de Usuario al Sprint Backlog;Cuando el Product Owner aprueba la Historia de Usuario;Cuando el equipo Scrum aprueba la Historia de Usuario;;;;;1;"Uno de los pilares de Scrum para proteger el foco y la productividad del equipo de desarrollo es que, una vez que el Sprint se inicia (Sprint en curso), el alcance del Sprint Backlog se congela y no se pueden añadir nuevos requisitos o historias de usuario que comprometan o desvíen el objetivo del Sprint (Sprint Goal) [cite: 504]. El Scrum se resiste activamente a los cambios de alcance durante la iteración [cite: 44].
Nota de flexibilidad: Aunque la teoría estricta de examen dice que ""nunca"" para mantener la disciplina, la guía Scrum real permite que el alcance pueda ser clarificado y renegociado entre el Product Owner y los Desarrolladores si se descubre que el esfuerzo es menor o mayor a lo previsto, pero jamás introduciendo cambios externos de forma unilateral."
La técnica de Gherkin se aconseja utilizar para:;Metodologías Ágiles;Escribir los criterios de aceptacion en una Historia de Usuario;Escribir en el anverso de la Historia de Usuario como descripcion de la misma;Utilizar para conducir la conversacion que se debe llevar a cabo;Estimar los puntos de Historias de Usuario;;;;;1;Como se detalla en tus apuntes de Requerimientos en Agilidad (Unidad 10), Gherkin es un lenguaje estructurado con el formato GWT (Given-When-Then / Dado-Cuando-Entonces) que se utiliza específicamente para redactar los criterios de aceptación de las Historias de Usuario [cite: 2]. Ayuda a definir de forma clara los escenarios de prueba y el comportamiento esperado para que tanto el cliente como los desarrolladores entiendan cuándo una historia está realmente terminada [cite: 2].
La lista ordenada de todo lo que podría ser necesario en el producto y que es la única fuente de requisitos se denomina:;Metodologías Ágiles;Product Backlog;Sprint Backlog;Product Owner;Tablon de Tareas;;;;;1;"La teoría de Scrum de la cátedra define textualmente: ""La Lista de Producto (Product Backlog) es una lista ordenada de todo lo que podría ser necesario en el producto y es la única fuente de requisitos para cualquier cambio a realizarse en el producto"" [cite: 10]. El Product Owner es el único responsable de su contenido, disponibilidad y orden de prioridad [cite: 10]."
El describir siempre un contexto, un evento y la respuesta o consecuencia esperada se utiliza para:;Metodologías Ágiles;Escribir los criterios de aceptacion;La conversion de la Historia de Usuario que se mantiene con el Scrum Master;La descripcion breve, de una funcionalidad del software tal y como la percibe el usuario;El post-it de la Historia de Usuario que se utiliza como la especificacion de requisitos;;;;;1;"Esta estructura corresponde a la técnica de comportamiento utilizada en el desarrollo guiado por comportamiento (BDD) y el lenguaje Gherkin [cite: 1]. Consiste en redactar bajo el patrón GWT: Given-When-Then (Dado-Cuando-Entonces) [cite: 1]:
Dado = El Contexto o precondición de la que se parte [cite: 1].
Cuando = El Evento, acción o estímulo que ocurre [cite: 1].
Entonces = La Respuesta o consecuencia esperada [cite: 1].
Se utiliza específicamente para definir de forma inequívoca los Criterios de Aceptación de una Historia de Usuario, permitiendo que tanto el cliente, los desarrolladores y las pruebas de aceptación automatizadas compartan el mismo entendimiento de lo que se considera ""Listo"" (Done) [cite: 1, 7]."
En el manifiesto ágil se valora más una serie de cosas frente a otras. Cuál de las siguientes afirmaciones es correcta:;Metodologías Ágiles;Hay que potenciar la colaboracion con el cliente frente a la negociacion de contratos precisos;Hay que potenciar la colaboracion con el cliente frente a la documentacion exhaustiva;Si se plantean cambios con posterioridad a la planificacion hay que ajustarse el plan;Se valoran los procesos y las herramientas por encima de los individuos y las interacciones;;;;;1;"El Manifiesto Ágil proclama 4 valores fundamentales que priorizan los elementos de la izquierda sobre los de la derecha [cite: 14]:
Individuos e interacciones sobre procesos y herramientas [cite: 14].
Software funcionando sobre documentación exhaustiva [cite: 14].
Colaboración con el cliente sobre negociación contractual (contratos precisos) [cite: 14].
Respuesta ante el cambio sobre seguir estrictamente una planificación [cite: 14].
Por lo tanto, la afirmación de que hay que potenciar la colaboración por encima de la negociación de contratos rígidos es el reflejo exacto del tercer valor ágil [cite: 14]."
En las Historias de Usuario, el describir siempre un contexto, un evento y la respuesta o consecuencia esperada se utiliza para:;Metodologías Ágiles;Escribir los Criterios de Aceptacion de la Historia de Usuario;El post-it de la Historia de Usuario que se utiliza como la especificacion de requisitos;La conversacion de la Historia de Usuario que se mantiene con el Scrum Master;Las descripcion breve, de una funcionalidad del software tal y como la percibe el usuario;;;;;1;"Esta estructura corresponde a la técnica de comportamiento utilizada en el desarrollo guiado por comportamiento (BDD) y el lenguaje Gherkin [cite: 1]. Consiste en redactar bajo el patrón GWT: Given-When-Then (Dado-Cuando-Entonces) [cite: 1]:
Dado = El Contexto o precondición de la que se parte [cite: 1].
Cuando = El Evento, acción o estímulo que ocurre [cite: 1].
Entonces = La Respuesta o consecuencia esperada [cite: 1].
Se utiliza específicamente para definir de forma inequívoca los Criterios de Aceptación de una Historia de Usuario, permitiendo que tanto el cliente, los desarrolladores y las pruebas de aceptación automatizadas compartan el mismo entendimiento de lo que se considera ""Listo"" (Done) [cite: 1, 7]."
Cual de las siguientes consideraciones NO seria apropiada para caracterizar a un Actor del Negocio;Modelado de Sistemas;Siempre esta asociado con el nombre de un cargo en el organigrama;Son roles (humanos, software o hardware), no personas con nombres propios.;Se encuentran dentro del ambiente del negocio o campo de accion;En el diagrama de Actividades se representan en calles;;;;;1;"Consideración NO apropiada para caracterizar a un Actor del Negocio
Explicación: En las diapositivas de la cátedra de Modelado del Negocio (Unidad 4), bajo las ""Sugerencias para identificar adecuadamente a actores del negocio"", se especifica explícitamente que no siempre están asociados con el nombre de un cargo en el organigrama [cite: 20].
Los actores del negocio representan roles de ejecución de cara a los procesos de negocio (como Cliente, Socio, Proveedor, etc.), no puestos jerárquicos o departamentos de la estructura interna organizacional [cite: 18, 20]. Por lo tanto, decir que ""siempre está asociado con un cargo"" es una afirmación incorrecta (y por ende, la respuesta adecuada al buscar la ""NO apropiada"") [cite: 20]."
Un Diagrama de Colaboración representa a:;Modelado de Sistemas;Un solo escenario del caso de uso;Al igual que el diagrama de estados, muestra todos los caminos posibles (basicos y alternativos) de un caso de uso;Todos los actores y casos de uso;La interaccion de un caso de uso de forma completa;;;;;1;"En el modelado UML, los diagramas de interacción (que comprenden a los diagramas de Secuencia y a los de Colaboración) se diseñan para representar la realización dinámica de un único escenario específico de un caso de uso (una secuencia lineal de mensajes en el tiempo sin ramificaciones complejas) [cite: 164].
A diferencia de los diagramas de Actividades o de Estados (que mapean múltiples caminos lógicos, básicos y alternativos simultáneamente), un diagrama de colaboración muestra cómo interactúa un grupo de objetos para cumplir con un flujo particular de eventos"
En el Proceso Unificado, la viabilidad del proyecto se la debe determinar en:;Proceso Unificado;La fase de inicio;La fase de elaboracion;La disciplina de inicio;La disciplina captura de requisitos;;;;;1;"El mapa de hitos y fases del Proceso Unificado (PU) determina metas claras para cada hito [cite: 17]:
El objetivo primordial de la Fase de Inicio (Inception) es, por definición, establecer la Viabilidad del Proyecto [cite: 17, 25].
Durante esta fase, el equipo mitiga los riesgos comerciales, define el alcance inicial, estima tiempos y costos aproximados, y elabora una arquitectura candidata preliminar para decidir si el proyecto es viable antes de invertir recursos en la Fase de Elaboración [cite: 25]."
Un paquete de análisis puede estar compuesto por otros paquetes de análisis;Proceso Unificado;Verdadero;Falso;;;;;;;1;En el modelado UML bajo el Proceso Unificado, los paquetes de análisis se utilizan como carpetas lógicas para agrupar y organizar clases de análisis y casos de uso relacionados, facilitando la modularidad [cite: 171]. Siguiendo el principio de descomposición jerárquica top-down, un paquete de análisis puede contener de forma anidada a otros subpaquetes de análisis para estructurar de manera óptima sistemas de gran escala [cite: 171].
En el Proceso Unificado, la viabilidad del proyecto se la debe determinar en:;Proceso Unificado;La fase de inicio;La disciplina captura de requisitos;La disciplina inicio;La fase elaboracion;;;;;1; La Fase de Inicio (Inception) tiene como hito y meta primordial evaluar la viabilidad económica, técnica y de negocio del proyecto [cite: 17]. Durante este período inicial se determina si la inversión realmente vale la pena antes de que la organización comprometa recursos considerables en las fases de Elaboración y Construcción 
El contexto del sistema está formado por todo elemento que queda fuera del límite de este;Sistemas de Información;Verdadero;Falso;;;;;;;1;De acuerdo con el Enfoque Sistémico de tu Clase 1, el contexto se define como el conjunto de elementos que quedan fuera de la frontera o límite de interés del sistema, pero que mantienen algún tipo de relación o interacción directa con él 
Las tecnologías de la información y las comunicaciones pueden influenciar en la estrategia del negocio;Sistemas de Información;Verdadero;Falso;;;;;;;1;"En la era de la empresa digital, las Tecnologías de la Información (TI) no actúan únicamente como un soporte operativo neutral [cite: 200]. Al aportar su propia dinámica e ""idiosincrasia"", las TI habilitan nuevos canales comerciales (como el e-commerce) y redefinen los procesos organizacionales, influyendo directamente en la ventaja competitiva y en la planificación estratégica del negocio"
La creación de confianza y la observación del lugar de trabajo es uno de los objetivos de la técnica;Técnicas de Recolección de Datos;Entrevista;Cuestionario;Cliente;Observacion;;;;;1;Aunque la técnica de Observación se enfoca exclusivamente en mirar el comportamiento, Kendall & Kendall (Capítulo 4) señalan de forma expresa que la Entrevista es un diálogo planeado donde el analista de sistemas busca de manera simultánea establecer una relación de confianza rápida con el cliente, comprender sus opiniones y sentimientos, y aprovechar la instancia para observar de primera mano su entorno físico de trabajo
El éxito de una entrevista depende, principalmente, de:;Técnicas de Recolección de Datos;La habilidad del entrevistador y de su preparacion para la misma;La secuencia en la que se formulen las preguntas;La disposicion de mucho tiempo para llevarla a cabo;La utilizacion de un buen lenguaje tecnico;;;;;1;Una entrevista no es una conversación casual improvisada. Su éxito radica en que el analista siga un plan metodológico estricto: investigar el contexto del negocio, definir de antemano de 4 a 6 objetivos específicos de información, estructurar un flujo lógico de preguntas (embudo, pirámide o diamante) y dominar la conducción del diálogo frente al entrevistado
Los métodos ágiles son más efectivos cuando:;Metodologías Ágiles;El equipo de desarrollo esta altamente calificado y motivado y esta distribuido geograficamente;El proyecto es innovador, el cliente esta disponible e involucrado y el equipo esta altamente calificado y motivado;El proyecto es innovador y se tiene un equipo recien formado con niveles de habilidad muy limitadas;El proyecto es innovador, el cliente solo puede tener una limitada participacion y el equipo esta altamente calificado y motivado;;;;;2;El modelado ágil se fundamenta en iteraciones continuas y cortas, entregas frecuentes de software funcional y un control estricto del alcance a partir del feedback inmediato [cite: 24, 127]. Por ello, resulta sumamente efectivo cuando el cliente asume el demandante rol de estar físicamente en el sitio de desarrollo y el equipo cuenta con una alta calificación técnica y de comunicación para autogestionarse con éxito
Los Pilares del Control Empírico de procesos que utilizan las Propuestas Ágiles son:;Metodologías Ágiles;Alcance, tiempo y recursos;Visibilidad, inspeccion y adaptacion;Vulnerabilidad, inspeccion y adaptacion;Alcance, tiempo, recursos y calidad;;;;;2;"En Scrum (y la agilidad en general), el desarrollo no se basa en planes rígidos predictivos, sino en el control empírico (aprender sobre la marcha) [cite: 16, 17]. Este enfoque se sustenta en tres pilares obligatorios [cite: 17]:
Visibilidad (o Transparencia): Que todos los aspectos del proceso que afectan el resultado estén a la vista de los interesados [cite: 16, 17].
Inspección: Evaluar frecuentemente el estado del producto y los desvíos respecto a la meta [cite: 17].
Adaptación: Ajustar el proceso o el producto lo antes posible si se detectan variaciones inaceptables [cite: 17]."
La gráfica Burndown del Sprint es una herramienta utilizada por los equipos para:;Metodologías Ágiles;Calcular la cantidad restante del presupuesto del equipo;Medir el trabajo que falta completar durante un sprint;Medir el trabajo realizado durante un sprint;Identificar a los miembros del equipo de bajo rendimiento;;;;;2;El gráfico Burndown es una representación visual del progreso diario del equipo dentro del Sprint [cite: 20]. En su eje vertical se sitúa el trabajo restante (en puntos de historia) y en el horizontal el tiempo (días de iteración) [cite: 20]. Mide de forma descendente cuánto esfuerzo falta por completar para alcanzar el objetivo del sprint, ayudando a detectar rápidamente retrasos y cuellos de botella [cite: 20].
En Scrum el responsable de priorizar las funcionalidades de acuerdo con su valor para la organización es;Metodologías Ágiles;Cliente;Product Owner;Scrum Master;Team;;;;;2;El Product Owner es el único representante del negocio y del cliente frente al equipo de desarrollo [cite: 21]. Entre sus principales funciones está la de maximizar el valor del producto, lo que implica ser el responsable absoluto de ordenar y priorizar las funcionalidades del Product Backlog según el retorno de inversión y el valor estratégico que aportan a la organización [cite: 21].
Es uno de los procesos cognitivos implicado en la modelización, por el cual se extrae lo fundamental, se centra en algunos aspectos o cualidades y aislá o deja de lado otros con el objeto de crear los modelos que son una representación formalizada y subjetiva de la realidad;Modelado de Sistemas;Concentracion;Abstraccion;Conceptualizacion;Sincronizacion;;;;;2; Según la Unidad 4 de Modelado, la Abstracción es el proceso mental que permite a un analista centrar su atención en cualidades esenciales de un objeto del mundo real, ignorando de forma deliberada otros detalles secundarios o de implementación técnica con el fin de simplificar la realidad en un modelo formalizado [cite: 9].
Para visualizar los conceptos significativos para el dominio del problema y como se relacionan se utiliza:;Modelado de Sistemas;Modelo de Casos de Uso;Modelo Conceptual;Diagrama de Actividades;Diagrama de Casos de Uso del Negocio;;;;;2; El Modelo Conceptual es una representación de clases del mundo real (conceptos) que describe de manera gráfica y semántica el vocabulario del problema de negocio de forma independiente de la tecnología [cite: 30, 41]. Sirve como herramienta de comunicación para que el analista, los desarrolladores y los usuarios compartan el mismo entendimiento del dominio [cite: 30, 31].
Un Diagrama de Actividad solo puede tener una única actividad final;Modelado de Sistemas;Verdadero;Falso;;;;;;;2; En UML, un diagrama de actividades modela un flujo de trabajo. Aunque habitualmente inicia con un único nodo inicial, puede albergar múltiples nodos finales de actividad (Activity Final Nodes). Esto se debe a que un flujo puede ramificarse (mediante decisiones lógicas) y finalizar con éxito en distintos estados o escenarios de salida.
En modelo de dominio es mas importante identificar las asociaciones que los conceptos;Modelado de Sistemas;Verdadero;Falso;;;;;;;2;"Las directrices oficiales de la cátedra para construir un modelo de dominio indican textualmente: ""Es más importante identificar los conceptos que las asociaciones"" [cite: 40]. Llenar un diagrama con múltiples líneas de asociación genera ""ruido visual"" y dificulta la comprensión [cite: 40, 127]. Lo primordial es descubrir las entidades del negocio (conceptos/clases) y añadir únicamente las asociaciones que sean estrictamente necesarias recordar [cite: 40, 127, 129]."
Dentro de la orientación a objetos, ¿qué termino expresa que los datos de un objeto solo pueden ser manipulados mediante los mensajes y métodos predefinidos en el mismo?;Orientación a Objetos;Reusabilidad;Encapsulamiento;Persistencia;Herencia;;;;;2;El encapsulamiento (también llamado ocultamiento de información) es el mecanismo de diseño en POO que une los datos (atributos) y el comportamiento (métodos) en una sola entidad (el objeto), restringiendo el acceso directo a sus variables internas. La única forma autorizada de consultar o alterar el estado de un objeto es a través del envío de mensajes que disparen sus métodos públicos predefinidos.
En el Proceso Unificado de Desarrollo de Software:;Proceso Unificado;La dimension temporal del proceso se expresa en terminos de actividades, productos intermedios, perfiles de trabajo o roles y flujos de trabajo;La dimension temporal del proceso se expresa en terminos de ciclos, fases, iteraciones e hitos;La dimension estatica del proceso se expresa en terminos de ciclos, fases, iteraciones e hitos;En la dimension estatica, cada ciclo se compone de cuatro fases secuenciales (inicio, elaboracion, construccion y transicion);;;;;2; El Proceso Unificado se representa gráficamente en dos ejes. El eje horizontal (dinámico o temporal) organiza la vida del proyecto en términos de ciclos, fases, iteraciones e hitos, marcando el avance del tiempo. El eje vertical (estático o estructural) organiza el proceso en términos de disciplinas o flujos de trabajo (requisitos, análisis, diseño, etc.), actividades, roles y artefactos.
