Pregunta,Categoria,Opcion1,Opcion2,Opcion3,Opcion4,Opcion5,Opcion6,Correctas,Explicacion
¿Cuál es la definición técnica de un sistema de información según el enfoque organizacional?,Modelado de Sistemas,Un conjunto de computadoras conectadas a una red de alta velocidad.,"Componentes interrelacionados que recolectan, procesan, almacenan y distribuyen información para la toma de decisiones.",Una colección de datos organizados para servir a una sola aplicación de manera eficiente.,La infraestructura física necesaria para operar el hardware corporativo.,Un sistema sociotécnico que solo considera las máquinas y la tecnología física dura.,La suma de todos los programas de software instalados localmente en las computadoras.,opcion2,"Desde una perspectiva técnica, se define como un conjunto de componentes interrelacionados que recolectan (o recuperan), procesan, almacenan y distribuyen información para apoyar los procesos de toma de decisiones y de control."
"En el contexto de la empresa digital, ¿qué significa el término 'desplazamiento en tiempo'?",Modelado de Sistemas,Trabajar en un taller global fuera de los límites nacionales.,"Realizar negocios de manera continua las 24 horas del día, los 7 días de la semana.",Mover los activos financieros de forma digital entre sucursales.,Organizar las tareas en silos de producción secuencial.,Externalizar el trabajo a países con bajos sueldos.,Automatizar los procesos de negocios manuales antiguos.,opcion2,"El desplazamiento en tiempo se refiere a los negocios que se realizan de forma continua, 24/7, en lugar de horarios comerciales estrechos."
Un Sistema de Procesamiento de Transacciones (TPS) sirve principalmente a:,Sistemas de Información,La gerencia de nivel superior para decisiones estratégicas.,La gerencia de nivel medio para el monitoreo y control.,Los gerentes operacionales para llevar el registro de actividades elementales.,Científicos y trabajadores del conocimiento para crear conocimiento.,Directores de información (CIO) para la gobernanza de TI.,Clientes externos para realizar compras por Internet.,opcion3,"Los TPS son sistemas que llevan el registro de las actividades y transacciones elementales de la organización, sirviendo a los gerentes operacionales."
¿Cuál es la característica principal de una Arquitectura Orientada al Servicio (SOA)?,Modelado de Sistemas,Uso exclusivo de lenguajes de programación propietarios.,Un conjunto de servicios autocontenidos que se comunican para crear una aplicación funcional.,La eliminación total de los sistemas heredados en una empresa.,La conexión física de cables de fibra óptica en una red LAN.,La centralización de todos los datos en un solo disco duro físico.,El uso de redes sociales para la publicidad de productos.,opcion2,La SOA es un conjunto de servicios autocontenidos que se comunican entre sí para crear una aplicación de software funcional.
"En el modelo de fuerzas competitivas de Porter, ¿qué factor aumenta el poder de los clientes?",Sistemas de Información y Estrategia,La existencia de barreras de entrada muy altas.,La capacidad de cambiar fácilmente a los productos de un competidor.,La falta de información sobre precios en el mercado.,La dependencia de un solo proveedor exclusivo.,El uso de sistemas de respuesta eficiente al cliente.,La implementación de una estructura organizacional de tipo adhocracia.,opcion2,El poder de los clientes aumenta si pueden cambiar con facilidad a los productos y servicios de un competidor.
¿Qué son los activos complementarios en el contexto de la inversión en TI?,Modelado de Sistemas,Dispositivos de hardware adicionales como impresoras y escáneres.,Activos requeridos para derivar valor a partir de una inversión primaria.,Copias de seguridad de las bases de datos corporativas.,Programas de software descargados de la nube de forma gratuita.,Cables de fibra óptica que complementan al cable trenzado.,Los salarios de los programadores y analistas de sistemas.,opcion2,"Los activos complementarios son aquellos requeridos para derivar valor a partir de una inversión primaria (como nuevos modelos de negocios, cultura organizacional o capacitación)."
Un sistema de administración de relaciones con el cliente (CRM) se utiliza principalmente para:,Sistemas de Información,Gestionar el flujo de materiales entre la fábrica y el almacén.,"Coordinar los procesos de negocios en ventas, marketing y servicio para optimizar ingresos.",Analizar la estructura de las redes de área metropolitana (MAN).,Reducir la latencia de las señales de radiofrecuencia en Wi-Fi.,Realizar el mantenimiento preventivo del hardware del servidor.,Controlar el acceso de los empleados a sitios Web prohibidos.,opcion2,Los sistemas CRM proveen información para coordinar todos los procesos de negocios que tratan con los clientes para optimizar ingresos y satisfacción.
"¿Qué principio ético sugiere que si una acción no es correcta para que todos la tomen, no es correcta para nadie?",Ética,Regla dorada,Imperativo categórico de Kant,Regla del cambio de Descartes,Principio utilitarista,Principio de aversión al riesgo,Regla de 'no hay comida gratis',opcion2,"El Imperativo categórico de Emmanuel Kant establece: 'Si una acción no es correcta para que todos la tomen, no es correcta para nadie'."
¿Qué derecho protege a los autores de propiedad intelectual contra la copia durante 70 años después de su muerte?,Ética / Propiedad Intelectual,Patente,Derechos de autor (Copyright),Secreto comercial,Privacidad de la información,Responsabilidad legal,Debido proceso,opcion2,Los derechos de autor (copyright) protegen a los creadores contra la copia por parte de otros durante la vida del autor y 70 años más.
Un sistema de administración del conocimiento (KMS) ayuda a las empresas a:,Sistemas de Información,Pagar la nómina de los empleados de forma automática.,Capturar y aplicar la experiencia y el conocimiento organizacional.,Medir el consumo de energía en los centros de datos.,Cifrar el tráfico de red mediante protocolos SSL.,Configurar las redes privadas virtuales (VPN).,Traducir direcciones IP a nombres de dominio.,opcion2,Los KMS permiten a las organizaciones administrar mejor los procesos para capturar y aplicar el conocimiento y la experiencia.
¿Qué es la escalabilidad en los sistemas de información?,Modelado de Sistemas,La capacidad de un sistema para contraerse y reducir costos fijos.,La habilidad de un sistema para expandirse y dar servicio a más usuarios sin fallar.,El proceso de mover datos de una mainframe a una PC.,La jerarquía de autoridad dentro de una burocracia.,El aumento de la velocidad de los microprocesadores según Moore.,La facilidad de uso de una interfaz gráfica de usuario.,opcion2,"La escalabilidad se refiere a la habilidad de una computadora, producto o sistema de expandirse para dar servicio a un mayor número de usuarios sin fallar."
¿Qué nivel de la gerencia toma decisiones estratégicas de largo alcance?,Sistemas de Información,Gerencia operacional,Gerencia de nivel medio,Gerencia de nivel superior,Trabajadores del conocimiento,Analistas de sistemas,Directores de seguridad (CSO),opcion3,La gerencia de nivel superior toma decisiones estratégicas de largo alcance sobre productos y servicios.
¿Para qué se utiliza la técnica de Gherkin (Dado-Cuando-Entonces)?,Metodologías Ágiles,Para escribir descripciones breves de historias de usuario,Para definir criterios de aceptación,Para estimar puntos de historia,"Para describir el contexto, evento y consecuencia esperada",Para asignar tareas en el Sprint Backlog,Para facilitar la comunicación con el cliente,2;4;6,Gherkin define escenarios mediante Dado-Cuando-Entonces para establecer criterios de aceptación claros y compartidos.,4
¿Cuál es la característica principal de una 'Épica' en el contexto de requisitos ágiles?,Metodologías Ágiles,Es una tarea que puede ser realizada por una sola persona,Es una historia de usuario que no aporta valor al negocio,Es una historia de usuario que no puede ser desarrollada en una sola iteración debido a su tamaño,Es un requisito técnico que no involucra al usuario final,Es una meta estratégica multianual de alto nivel,Es una prueba de aceptación automatizada,opcion3,Las épicas son historias de usuario que por su gran tamaño no caben en una iteración (Sprint) y deben dividirse en historias más pequeñas.,9
"En el modelo INVEST para historias de usuario, ¿qué significa que una historia sea 'Estimable'?",Metodologías Ágiles,Que el equipo puede darle una medida de trabajo (puntos o días) para la planificación,Que la historia tiene un alto valor monetario,Que la historia no depende de otras historias,Que puede ser probada con criterios de aceptación claros,Que es lo suficientemente pequeña para entrar en un sprint,Que el enunciado puede ser negociado con el Product Owner,opcion1,Estimable significa que el equipo de desarrollo debe poder asignarle un tamaño o esfuerzo necesario para realizarla.,9
¿Cuál es un objetivo clave de la Gestión de Proyectos en sistemas de información?,Gestión de Proyectos,Incrementar el riesgo de falla del sistema.,Alinear los proyectos con el plan de negocios y controlar riesgos.,Eliminar la necesidad de un director de información (CIO).,Evitar la capacitación de los usuarios finales.,Garantizar que no existan bugs en el software.,Reducir la comunicación entre los departamentos.,opcion2,"La gestión de proyectos busca asegurar que los sistemas entreguen valor de negocios y se manejen dentro de los límites de tiempo y presupuesto, mitigando riesgos.",1
¿Qué identifica un 'Análisis de impacto comercial' en la gestión de proyectos?,Gestión de Proyectos,El costo de la publicidad en Google.,Los sistemas más críticos y el impacto de su falla en la empresa.,La cantidad de clics fraudulentos en un anuncio.,El número de transistores en un chip.,La ubicación física de los servidores blade.,El uso de la nanotecnología en el hardware.,opcion2,"Este análisis es vital para la continuidad del negocio, determinando qué funciones son esenciales tras un desastre.",1
¿Qué técnica de gestión de proyectos se define como una red de nodos y flechas que permite determinar la ruta crítica y el tiempo de inactividad?,Gestión de Proyectos,Diagrama de Ishikawa,Gráfico de Gantt,Matriz CRUD,Diagrama PERT,Análisis de Punto de Equilibrio,Modelo de Espiral,opcion4,"PERT (Técnicas de evaluación y revisión de programas) utiliza una red para representar actividades, permitiendo identificar la ruta crítica (la más larga) y los tiempos de holgura.",3
"En la Gestión de Proyectos, ¿qué análisis evalúa el valor en el tiempo de la inversión comparando los costos y beneficios actuales con los futuros?",Gestión de Proyectos,Análisis de Flujo de Efectivo,Análisis de Punto de Equilibrio,Análisis de Valor Presente,Método de Retribución,Análisis CRUD,Análisis de Puntos de Función,opcion3,"El análisis del valor presente es una forma de evaluar todos los desembolsos y los ingresos durante su vida económica, considerando el costo del dinero o tasa de descuento.",3
"En la gestión de proyectos ágil, ¿cuál es la actitud recomendada hacia la planificación a largo plazo?",Gestión de Proyectos,Planificación predictiva total,Evitar cualquier tipo de planificación,Planificación adaptativa; solo detallar el futuro cercano,Fijar hitos cada 12 meses,Hacer que el cliente firme todos los diagramas UML,Permitir que cada desarrollador elija su propio horario,opcion3,"La gestión ágil prefiere planes detallados solo para la iteración siguiente, adaptando el resto del plan a medida que se obtiene feedback real.",2
¿Qué indica el término 'Velocidad del Equipo' en la gestión iterativa?,Gestión de Proyectos,La rapidez con la que el equipo escribe líneas de código,"La cantidad de trabajo realizado por iteración, basada en datos históricos",La velocidad de la conexión de red en la oficina,La tasa de rotación de los empleados,El tiempo que tarda el servidor en compilar,La rapidez con la que el cliente responde correos,opcion2,"Los checkpoints de cada iteración proveen datos sobre cuánto trabajo se completó, permitiendo estimar la velocidad para futuras iteraciones.",2
"Al clasificar requisitos para planificar iteraciones, ¿cuáles deben ir en las iteraciones iniciales?",Gestión de Proyectos,Los requisitos más fáciles de programar,Los requisitos con mayor riesgo y valor arquitectónico,Los requisitos que el cliente menos desea,Los requisitos estéticos de la interfaz,Solo los requisitos de mantenimiento,Aquellos que no requieren pruebas,opcion2,"Para mitigar riesgos, se deben abordar primero los elementos arquitectónicamente significativos y de alto valor de negocio o riesgo.",2
¿Qué variables condicionan el éxito de un proyecto de software?,Gestión de Proyectos,Alcance,Tiempo,Costo (Recursos),Calidad,Cantidad de programadores,Uso de UML,1;2;3;4,"El éxito depende de la gestión equilibrada de la 'triple restricción' (Alcance, Tiempo, Costo) sumado a la Calidad y satisfacción del cliente.",4
¿Qué aspectos se analizan en un estudio de factibilidad completo?,Gestión de Proyectos,Factibilidad Técnica,Factibilidad Operativa,Factibilidad Económica,Factibilidad Financiera,Factibilidad de Programa (Temporal),Factibilidad Legal,1;2;3;4;5;6,"Según Pressman, se deben evaluar las seis dimensiones: técnica, operativa, económica, financiera, temporal (programa) y legal.",4
¿Qué define a la factibilidad operativa?,Gestión de Proyectos,Si los beneficios compensan los costos,Si el sistema funcionará y será utilizado por la organización,Si existe el hardware necesario,Si los usuarios se adaptarán al cambio o se resistirán,Si se cumple con las leyes de privacidad,Si el sistema satisface realmente los requerimientos,2;4;6,La factibilidad operativa evalúa el factor humano y si la solución será realmente aceptada y utilizada por los usuarios finales.,4
¿Cuál es el orden correcto de los pasos para la resolución de problemas?,Gestión de Proyectos,Determinar el problema y sus asociados,Definir claramente el problema (redefinir),Evaluar y seleccionar soluciones,Planear la operación,Conocimiento de las causas,Proponer soluciones,1;5;2;6;3;4,"La secuencia es: 1. Determinar problema, 2. Causas, 3. Definir claramente (Redefinir), 4. Proponer soluciones, 5. Evaluar/seleccionar, 6. Planear operación, 7. Evaluar resultados.",4
¿Quién es el responsable de tomar la decisión final sobre la viabilidad de un proyecto?,Gestión de Proyectos,El Analista de Sistemas,El Scrum Master,Los directivos de la organización,El equipo de desarrollo,El Cliente final,El Jefe de Proyecto,3,"El analista actúa como consultor y presenta el informe, pero la decisión de inversión y de 'proceder o no' es exclusiva de la gerencia/directivos.",4
¿Qué caracteriza a la 'Etapa de Contagio o Expansión' en la evolución de Nolan?,Gestión de Proyectos,La adquisición de la primera computadora central.,El establecimiento de estándares estrictos de documentación.,La proliferación desordenada de sistemas transaccionales y la aparición de 'islas informáticas'.,La integración total de bases de datos de cuarta generación.,El reconocimiento de la información como recurso estratégico.,La subcontratación total del área de sistemas.,opcion3,"En esta etapa el crecimiento es desordenado, sin estándares, lo que genera duplicidad de datos y sistemas de mala calidad denominados islas informáticas.",10
¿Cuál es el hito que marca la finalización de la Etapa de Inicio en la teoría de Nolan?,Gestión de Proyectos,La adquisición de la primera computadora.,La descentralización del departamento de sistemas.,La implantación exitosa del primer sistema de información.,El ahorro comprobado de mano de obra.,La desaparición de la ciberfobia en los usuarios.,La creación del cargo de analista de sistemas.,opcion3,"Según la teoría de Nolan, la etapa de inicio finaliza específicamente con la implantación exitosa del primer sistema de información.",11
¿Qué técnica de control presupuestal caracteriza el inicio de la Etapa de Control o Formalización?,Gestión de Proyectos,Presupuestación basada en el valor histórico.,Técnicas de presupuestación base cero.,Sistemas de costeo por actividades (ABC).,Inversión extranjera directa en tecnología.,Presupuestos incrementales anuales.,Desembolsos discrecionales de la dirección.,opcion2,Esta etapa inicia con la necesidad de controlar recursos mediante técnicas de presupuestación base cero y sistemas de cargo a usuarios.,11
¿Qué técnica de recolección de información se enfoca en observar procesos de negocios reales?,Técnicas de Recolección,Benchmarking.,Análisis de impacto comercial.,Observación directa de los flujos de trabajo.,Minería de datos únicamente.,Cuestionarios de opción múltiple exclusivamente.,Análisis forense de sistemas.,opcion3,"Para entender cómo funciona realmente una empresa, es vital analizar los procesos de negocios observando las tareas y comportamientos relacionados lógicamente.",1
"En el análisis de sistemas, ¿para qué sirven los diagramas de entidad-relación?",Técnicas de Recolección,Para medir el ancho de banda de una red.,Para documentar el modelo de datos y las conexiones entre entidades.,Para limpiar virus de una PC.,Para programar en lenguaje XML.,Para definir el sueldo neto de los empleados.,Para configurar un enrutador.,opcion2,Estos diagramas visualizan cómo las entidades de negocio se relacionan entre sí dentro del sistema de información.,1
"Al realizar la recopilación de información, ¿qué estructura de entrevista comienza con preguntas generales y termina con preguntas cerradas y específicas?",Técnicas de Recolección,Estructura de Pirámide,Estructura de Diamante,Estructura de Embudo,Estructura de Círculo,Estructura de JAD,Estructura Primitiva,opcion3,"La estructura de embudo usa un enfoque deductivo al empezar con preguntas generalizadas y abiertas, para después reducir la cantidad de respuestas posibles mediante preguntas cerradas.",3
¿Qué elemento de STROBE indica que un encargado de tomar decisiones busca información fuera de la organización?,Técnicas de Recolección,Ubicación de la oficina (esquina).,Colocación del escritorio (frente a la puerta).,Presencia de publicaciones especializadas o uso de la Web en la oficina.,Uso de trajes conservadores.,Iluminación fluorescente brillante.,Archiveros de gran tamaño.,opcion3,"Al observar el tipo de publicaciones (externas como Business Week o sitios Web) almacenadas en la oficina, se puede averiguar si el gerente busca información externa a la empresa.",3
¿Qué técnica de recolección de requisitos se centra en historias de uso del sistema por parte de un actor?,Técnicas de Recolección,Listas de funciones,Casos de Uso,Modelado de datos,Álgebra relacional,Entrevistas de salida,Diagramas de flujo de datos,opcion2,Los casos de uso son narrativas de texto que describen a un actor usando un sistema para alcanzar una meta.,2
"Para recolectar requisitos de manera efectiva, ¿cuál es una recomendación del PU?",Técnicas de Recolección,Realizar workshops de requisitos con clientes y desarrolladores,Enviar formularios por correo y esperar respuestas,Adivinar lo que el usuario quiere para no molestarlo,Copiar los requisitos de la competencia exactamente,Permitir solo al analista hablar con el cliente,Escribir código primero y preguntar después,opcion1,El PU fomenta la elicitación mediante workshops colaborativos que incluyen a los expertos del dominio y al equipo técnico.,2
¿Qué tipo de diagrama UML se usa comúnmente para visualizar procesos de negocio y flujos de trabajo?,Técnicas de Recolección,Diagrama de Clases,Diagrama de Actividad,Diagrama de Despliegue,Diagrama de Paquetes,Diagrama de Estructura Compuesta,Diagrama de Tiempos,opcion2,"Los diagramas de actividad son ideales para modelar flujos de trabajo complejos, procesos de negocio y algoritmos paralelos.",2
¿Cuáles son las ventajas de utilizar preguntas cerradas en una entrevista?,Técnicas de Recolección,Ahorro de tiempo,Permiten más espontaneidad,Facilitan la comparación de entrevistas,Mantienen el control sobre la entrevista,Revelan nuevas líneas de investigación,Obtienen datos cuantitativos relevantes,1;3;4;6,"Las preguntas cerradas ahorran tiempo, dan control al entrevistador y facilitan comparar datos. La espontaneidad es propia de las preguntas abiertas.",4
¿Cuáles son las reglas fundamentales para un Brainstorming efectivo?,Técnicas de Recolección,Se prohíbe la crítica de ideas,Se debe generar un gran número de ideas,Solo pueden participar expertos del área,Se alienta a combinar o completar ideas de otros,Se deben evitar las ideas descabelladas,Se fomenta la libertad de imaginación,1;2;4;6,"El brainstorming prohíbe el juicio inicial, busca cantidad sobre calidad inmediata y fomenta la combinación de ideas y la creatividad sin límites.",4
¿En qué situaciones es más aconsejable utilizar cuestionarios?,Técnicas de Recolección,Cuando se necesita profundizar en sentimientos,Cuando se desea medir la opinión de muchas personas,En estudios preliminares para establecer tendencias,Para observar el entorno de trabajo,Cuando los interesados están distribuidos geográficamente,Para resolver conflictos entre interesados,2;3;5,"Los cuestionarios son ideales para grupos masivos, para obtener tendencias cuantitativas iniciales y cuando hay dispersión geográfica.",4
¿Qué caracteriza a la estructura de 'Embudo' en una entrevista?,Técnicas de Recolección,Comienza con preguntas cerradas y termina con abiertas,Comienza con preguntas generales y abiertas,Se focaliza progresivamente hacia preguntas cerradas,Es un método inductivo,Es un método deductivo,Se usa para ganar confianza al inicio,2;3;5;6,La estructura de embudo (deductiva) inicia con preguntas abiertas para generar confianza y cierra con específicas para obtener datos técnicos.,4
¿Qué define a la Ingeniería de Requisitos en el desarrollo de sistemas?,Ingeniería de Requisitos,La instalación física del hardware.,El proceso de determinar qué debe hacer el sistema y sus restricciones.,La codificación directa en lenguajes como Java.,El marketing del producto final.,La eliminación de todos los backups del servidor.,La creación de diagramas de flujo de datos únicamente.,opcion2,La ingeniería de requisitos implica el análisis de sistemas para definir las funciones que el sistema debe realizar y las metas que debe cumplir.,1
¿Cuál es la función principal de un 'Diccionario de Datos' según el texto?,Ingeniería de Requisitos,Dibujar la interfaz de usuario.,Sustituir a los diagramas de flujo de datos.,Recopilar y coordinar términos de datos específicos y confirmar su significado (metadatos).,Programar automáticamente el código fuente del sistema.,Gestionar el presupuesto del proyecto de sistemas.,Eliminar la necesidad de entrevistas con los usuarios.,opcion3,El diccionario de datos es una obra de consulta de metadatos que ayuda a mantener los datos 'limpios' y consistentes en toda la organización.,3
"En el modelo FURPS+, ¿qué representa la letra 'S'?",Ingeniería de Requisitos,Seguridad (Security),Soporte (Supportability),Sistemas (Systems),Simplicidad (Simplicity),Sincronización (Synchronization),Subsidios (Subsidies),opcion2,"S representa 'Supportability' (Soportabilidad), que incluye adaptabilidad, mantenibilidad, internacionalización y configurabilidad.",2
"En un diagrama de Caso de Uso UML, ¿qué indica una relación de tipo «include»?",Ingeniería de Requisitos,Que un caso de uso es opcional,Que una parte del comportamiento es común a varios casos de uso y se ha factorizado,Que el caso de uso es solo para administradores,Que el sistema está incluido en el hardware,Que se debe incluir al cliente en la programación,Que el código fuente está incluido en el diagrama,opcion2,"La relación «include» se usa para evitar repeticiones, extrayendo pasos comunes a un caso de uso separado que es invocado por otros.",2
¿Qué prueba define si un Caso de Uso está al nivel de detalle adecuado para el análisis?,Ingeniería de Requisitos,La prueba del compilador,La prueba del jefe (Boss Test) o el Proceso de Negocio Elemental (EBP),La prueba del cliente satisfecho,La prueba de la página web,La prueba de estrés,La prueba de la moneda,opcion2,"Un caso de uso debe representar una tarea que agregue valor medible y deje los datos en un estado consistente, superando la prueba del jefe o EBP.",2
¿Cuál es la diferencia fundamental entre el enfoque de requisitos en cascada y el iterativo?,Ingeniería de Requisitos,El iterativo no documenta nada,El de cascada asume que los requisitos son estables y predecibles,El iterativo solo hace requisitos funcionales,El de cascada es más rápido para el cambio,No hay diferencia real,El iterativo requiere herramientas más caras,opcion2,El modelo de cascada falla a menudo porque asume que los requisitos se pueden definir perfectamente al inicio sin cambios posteriores.,2
¿Qué información debe contener idealmente la sección de 'Postcondiciones' en un caso de uso?,Ingeniería de Requisitos,Los pasos detallados de la interfaz gráfica,Lo que debe ser verdad al completar con éxito el caso de uso,La lista de errores de compilación,El nombre de los programadores,Los requisitos de hardware,El presupuesto final,opcion2,Las postcondiciones (o garantías de éxito) declaran qué debe ser cierto sobre el estado del sistema y los datos tras la ejecución exitosa.,2
¿Cuáles son las actividades del proceso de Ingeniería de Requisitos?,Ingeniería de Requisitos,Elicitación (Educción),Análisis,Especificación (Documentación),Verificación,Validación,Gestión de cambios,1;2;3;4;5;6,"Es un proceso global que abarca descubrir, analizar, documentar, verificar, validar y gestionar los servicios y restricciones del software.",4
¿Qué define a un requisito 'Verificable'?,Ingeniería de Requisitos,Que el cliente lo haya aprobado,Que no sea ambiguo,Existe un proceso finito y de costo razonable para comprobar que se cumple,Que esté escrito en lenguaje técnico,Que sea posible de realizar,Que pueda ser medido objetivamente,3;6,Un requisito es verificable si se puede probar objetivamente su cumplimiento mediante un método de costo y tiempo razonable.,4
¿Qué es la 'Línea Base' (Baseline) de requisitos?,Ingeniería de Requisitos,Un conjunto de requisitos perfectos,Una 'foto en el tiempo' de requisitos acordados,Un borrador inicial de educción,Requisitos lo suficientemente buenos para continuar con riesgo aceptable,Un acuerdo que no permite cambios posteriores,Un hito para iniciar procesos de control de cambios,2;4;6,"La línea base no es perfección, sino un acuerdo estable y aprobado que permite avanzar y sobre el cual se aplican controles de cambio.",4
¿Qué diferencia a la Verificación de la Validación de requisitos?,Ingeniería de Requisitos,La verificación es interna (¿construimos el documento correctamente?),La validación es con el cliente (¿es el producto correcto?),La verificación busca errores de redacción y consistencia,La validación busca asegurar que el requisito resuelva la necesidad real,Ambas son la misma actividad en diferentes momentos,La verificación requiere prototipos,1;2;3;4,La verificación es un control técnico interno sobre el documento; la validación involucra al cliente para confirmar que se satisfacen sus necesidades.,4
¿Qué atributo cumple un requisito si su eliminación provoca una deficiencia irreparable?,Ingeniería de Requisitos,Completo,Correcto,Necesario,Priorizado,Verificable,Consistente,3,Un requisito es necesario si su ausencia implica que el sistema no podrá cumplir con los objetivos críticos del negocio o del usuario.,4
¿Cómo se clasifica un requisito sobre leyes de protección de datos según Sommerville?,Ingeniería de Requisitos,Funcional,No Funcional del Producto,No Funcional Externo,No Funcional Organizacional,Requisito del Negocio,Atributo de Calidad,3,"Los requisitos que surgen de factores ajenos al sistema y a la organización, como leyes o estándares externos, se clasifican como No Funcionales Externos.",4
¿Cómo se define el éxito de un proyecto de software en términos de variables?,Gestión de Proyectos,Alcance,Tiempo,Costo,Calidad,Cantidad de personal,Tecnología usada,1;2;3;4,"El éxito depende de la gestión equilibrada de la triple restricción (Alcance, Tiempo, Costo) sumado a la Calidad y satisfacción del cliente.",4
¿Qué hito concluye la fase de Elaboración en el Proceso Unificado?,Proceso Unificado (PU),Objetivos del ciclo de vida,Capacidad operacional inicial,Arquitectura del ciclo de vida,Release del producto,Plan de proyecto detallado,Visión del negocio,opcion3,El hito que concluye la Elaboración es asegurar la Arquitectura del ciclo de vida.,6
¿A qué nivel de abstracción se trabaja en el flujo de Análisis en comparación con la Implementación?,Proceso Unificado (PU),Nivel más bajo en análisis.,Nivel idéntico en ambos flujos.,Nivel más elevado en el análisis.,El análisis no tiene nivel de abstracción.,Solo se trabaja con bits en el análisis.,El diseño es más abstracto que el análisis.,opcion3,En los flujos se trabaja a diferentes niveles: el más elevado en el análisis hasta el más bajo en la implementación.,8
